road_id,flood_direct_count,flood_direct_exposure,flood_events_5km,flood_events_10km,flood_nearby_5km,flood_nearby_10km,nearest_flood_distance_km
69884123,14,1,14,15,1,1,0.0
72061874,0,0,0,0,0,0,44.91210387500053
72066141,1,1,5,5,1,1,0.0
72066152,0,0,0,1,0,1,5.277270459105194
72074382,1,1,1,1,1,1,0.0
72077809,14,1,14,14,1,1,0.0
72077811,14,1,14,14,1,1,0.0
72424664,0,0,0,0,0,0,14.6338394542926
72424670,0,0,0,0,0,0,16.115128952964675
72424679,0,0,0,0,0,0,16.248188471637494
72424692,0,0,0,0,0,0,14.67191240075456
72424713,0,0,0,0,0,0,16.387180812437183
72424715,0,0,0,0,0,0,13.908947548712465
72424718,0,0,0,0,0,0,15.85003096114482
76811959,9,1,10,10,1,1,0.0
76811976,4,1,4,4,1,1,0.0
82262480,7,1,7,7,1,1,0.0
82262491,1,1,1,8,1,1,0.0
82262494,0,0,0,1,0,1,7.511799040839238
82262496,1,1,8,8,1,1,0.0
82262509,0,0,1,1,1,1,4.201232443627658
82262517,7,1,7,7,1,1,0.0
82262524,0,0,0,0,0,0,15.369351651201846
82262538,0,0,1,1,1,1,0.8102351148925309
82262541,0,0,1,1,1,1,0.34534874384573855
82262544,1,1,1,8,1,1,0.0
82278255,8,1,8,16,1,1,0.0
82278264,8,1,8,8,1,1,0.0
83685111,0,0,0,3,0,1,8.497762535816948
83686530,0,0,0,0,0,0,11.217422640269152
83686531,0,0,0,0,0,0,11.248334355409852
83686946,0,0,0,0,0,0,12.841027459265378
83688186,0,0,0,0,0,0,19.06444145500024
83688269,0,0,0,0,0,0,19.078188213757404
83688411,0,0,0,0,0,0,18.708973942641396
83688773,0,0,0,0,0,0,19.2042001242417
83697950,0,0,0,0,0,0,18.316796287222388
83698799,0,0,0,3,0,1,7.957451962622805
83699325,0,0,0,0,0,0,16.342684958879648
83700088,0,0,0,3,0,1,9.155192237605787
83700092,0,0,0,3,0,1,8.750610622228733
83700095,0,0,0,3,0,1,7.98592237138701
83700973,0,0,0,0,0,0,19.16683158416491
83701553,0,0,0,0,0,0,28.2456438099357
83702523,0,0,0,0,0,0,32.533198983285985
83703203,0,0,0,0,0,0,34.37834434059919
83704268,0,0,0,0,0,0,10.219581324533223
83706869,0,0,0,0,0,0,12.064650101846762
83707720,0,0,0,0,0,0,12.122426650925764
83796792,8,1,9,9,1,1,0.0
83796796,8,1,9,9,1,1,0.0
83796797,8,1,9,9,1,1,0.0
83796798,8,1,9,9,1,1,0.0
83797783,8,1,8,9,1,1,0.0
83798444,8,1,9,9,1,1,0.0
83799051,8,1,9,9,1,1,0.0
83799647,8,1,9,9,1,1,0.0
83800250,8,1,9,9,1,1,0.0
83800251,8,1,9,9,1,1,0.0
83800253,8,1,9,9,1,1,0.0
83803636,8,1,9,9,1,1,0.0
83803638,8,1,9,9,1,1,0.0
83803639,8,1,9,9,1,1,0.0
83803640,8,1,9,9,1,1,0.0
83803641,8,1,9,9,1,1,0.0
83804020,8,1,9,9,1,1,0.0
83804276,8,1,9,9,1,1,0.0
83804440,7,1,9,9,1,1,0.0
83804534,8,1,9,9,1,1,0.0
83804535,8,1,9,9,1,1,0.0
83810389,8,1,9,9,1,1,0.0
83810390,8,1,9,9,1,1,0.0
83810391,8,1,9,9,1,1,0.0
83810392,8,1,9,9,1,1,0.0
83810393,8,1,9,9,1,1,0.0
83810467,8,1,9,9,1,1,0.0
83810468,8,1,9,9,1,1,0.0
83810691,8,1,9,9,1,1,0.0
83810692,8,1,9,9,1,1,0.0
83810720,8,1,9,9,1,1,0.0
83810823,8,1,9,9,1,1,0.0
83811364,8,1,9,9,1,1,0.0
83811365,8,1,9,9,1,1,0.0
83811366,8,1,9,9,1,1,0.0
83886219,8,1,9,9,1,1,0.0
83886220,8,1,9,9,1,1,0.0
83886221,8,1,9,9,1,1,0.0
83886237,8,1,9,9,1,1,0.0
83886238,8,1,9,9,1,1,0.0
83886242,8,1,9,9,1,1,0.0
